scenario,assumption,seed,outcome,disease,n_total,n_sole,n_shared
soc,no_treatment_effect,263000,ptb,ng,167040,3480,163560
soc,no_treatment_effect,263000,ptb,ct,529830,107010,422820
soc,no_treatment_effect,263000,ptb,tv,665550,243600,421950
soc,no_treatment_effect,263000,ptb,syph,3480,2610,870
soc,no_treatment_effect,263000,ptb,none,372360,372360,0
soc,no_treatment_effect,263000,lbw,ng,80910,3480,77430
soc,no_treatment_effect,263000,lbw,ct,194880,22620,172260
soc,no_treatment_effect,263000,lbw,tv,224460,56550,167910
soc,no_treatment_effect,263000,lbw,syph,3480,2610,870
soc,no_treatment_effect,263000,lbw,none,60900,60900,0
soc,no_treatment_effect,263000,stillbirth,syph,0,0,0
soc,no_treatment_effect,263000,nnd,syph,0,0,0
soc,central_reversible,263000,ptb,ng,181830,5220,176610
soc,central_reversible,263000,ptb,ct,734280,91350,642930
soc,central_reversible,263000,ptb,tv,955260,168780,786480
soc,central_reversible,263000,ptb,syph,817800,216630,601170
soc,central_reversible,263000,ptb,none,338430,338430,0
soc,central_reversible,263000,lbw,ng,125280,870,124410
soc,central_reversible,263000,lbw,ct,392370,23490,368880
soc,central_reversible,263000,lbw,tv,520260,46110,474150
soc,central_reversible,263000,lbw,syph,528090,102660,425430
soc,central_reversible,263000,lbw,none,57420,57420,0
soc,central_reversible,263000,stillbirth,syph,58290,58290,0
soc,central_reversible,263000,nnd,syph,7830,7830,0
soc,weak_effects,263000,ptb,ng,113100,7830,105270
soc,weak_effects,263000,ptb,ct,476760,54810,421950
soc,weak_effects,263000,ptb,tv,648150,150510,497640
soc,weak_effects,263000,ptb,syph,522870,138330,384540
soc,weak_effects,263000,ptb,none,334950,334950,0
soc,weak_effects,263000,lbw,ng,47850,870,46980
soc,weak_effects,263000,lbw,ct,180090,19140,160950
soc,weak_effects,263000,lbw,tv,231420,26100,205320
soc,weak_effects,263000,lbw,syph,228810,60900,167910
soc,weak_effects,263000,lbw,none,51330,51330,0
soc,weak_effects,263000,stillbirth,syph,54810,54810,0
soc,weak_effects,263000,nnd,syph,6960,6960,0
soc,strong_effects,263000,ptb,ng,212280,5220,207060
soc,strong_effects,263000,ptb,ct,990930,129630,861300
soc,strong_effects,263000,ptb,tv,1233660,198360,1035300
soc,strong_effects,263000,ptb,syph,1026600,312330,714270
soc,strong_effects,263000,ptb,none,335820,335820,0
soc,strong_effects,263000,lbw,ng,188790,4350,184440
soc,strong_effects,263000,lbw,ct,676860,32190,644670
soc,strong_effects,263000,lbw,tv,863910,66120,797790
soc,strong_effects,263000,lbw,syph,941340,255780,685560
