scenario,assumption,seed,wall_sec,n_deliveries,n_ptb,n_lbw,n_ptb_only,n_lbw_only,n_ptb_and_lbw,n_stillbirths,dalys
soc,no_treatment_effect,263000,584.4,10848030,1178850,325380,908280,54810,270570,0,182308
soc,no_treatment_effect,263001,587.2,11269980,1298040,419340,956130,77430,341910,0,202449
soc,no_treatment_effect,263002,569.3,10691430,1171020,341910,894360,65250,276660,0,182178
soc,no_treatment_effect,263003,566.7,10805400,1171890,366270,879570,73950,292320,0,183178
soc,no_treatment_effect,263004,562.2,10290360,1161450,358440,863040,60030,298410,0,180220
soc,central_reversible,263000,587.1,10809750,1726080,765600,1020510,60030,705570,58290,264915
soc,central_reversible,263001,591.4,11267370,1221480,385410,909150,73080,312330,0,190530
soc,central_reversible,263002,570.2,10701870,1110990,334950,836940,60900,274050,0,172738
soc,central_reversible,263003,561.8,10809750,1093590,334080,828240,68730,265350,0,170911
soc,central_reversible,263004,566.6,10271220,1064010,328860,796050,60900,267960,0,165691
soc,weak_effects,263000,586.0,10754940,802140,155730,680340,33930,121800,61770,123714
soc,weak_effects,263001,588.2,11230830,773430,163560,662070,52200,111360,0,121234
soc,weak_effects,263002,571.3,10734930,696000,138330,600300,42630,95700,0,108663
soc,weak_effects,263003,565.0,10814100,667290,137460,571590,41760,95700,0,104269
soc,weak_effects,263004,567.5,10259910,644670,113100,569850,38280,74820,0,100528
soc,strong_effects,263000,586.0,10797570,2168040,1353720,898710,84390,1269330,40890,333645
soc,strong_effects,263001,588.0,11264760,1654740,689040,1079670,113970,575070,0,259608
soc,strong_effects,263002,567.1,10737540,1520760,604650,1002240,86130,518520,0,236727
soc,strong_effects,263003,567.1,10788000,1420710,590730,923070,93090,497640,0,222415
soc,strong_effects,263004,566.6,10276440,1417230,613350,895230,91350,522000,0,221719
anc_1screen_90cov,no_treatment_effect,263000,592.3,10845420,1084020,301890,829980,47850,254040,0,167388
anc_1screen_90cov,no_treatment_effect,263001,599.6,11270850,1221480,398460,900450,77430,321030,0,190965
anc_1screen_90cov,no_treatment_effect,263002,582.2,10692300,1092720,320160,833460,60900,259260,0,169998
anc_1screen_90cov,no_treatment_effect,263003,580.5,10807140,1110120,332340,843030,65250,267090,0,173043
anc_1screen_90cov,no_treatment_effect,263004,578.3,10287750,1087500,333210,810840,56550,276660,0,168780
anc_1screen_90cov,central_reversible,263000,598.5,10804530,947430,280140,738630,71340,208800,53940,149248
anc_1screen_90cov,central_reversible,263001,600.2,11257800,715140,156600,609870,51330,105270,0,112404
anc_1screen_90cov,central_reversible,263002,582.2,10702740,636840,134850,544620,42630,92220,0,99789
anc_1screen_90cov,central_reversible,263003,582.2,10812360,632490,132240,544620,44370,87870,0,99310
anc_1screen_90cov,central_reversible,263004,577.8,10265130,611610,120060,533310,41760,78300,0,95917
anc_1screen_90cov,weak_effects,263000,596.1,10751460,707310,115710,625530,33930,81780,61770,109489
anc_1screen_90cov,weak_effects,263001,602.5,11228220,688170,132240,605520,49590,82650,0,108184
anc_1screen_90cov,weak_effects,263002,584.1,10733190,621180,107010,551580,37410,69600,0,96918
anc_1screen_90cov,weak_effects,263003,582.0,10812360,595950,113100,523740,40890,72210,0,93481
anc_1screen_90cov,weak_effects,263004,575.2,10254690,586380,91350,534180,39150,52200,0,91872
anc_1screen_90cov,strong_effects,263000,598.0,10786260,1119690,589860,664680,134850,455010,40020,181438
