scenario_id,assumption_id,draw_idx,n_deliveries,n_ptb,n_lbw,n_stillbirths,dalys,hiv_prev_final,syph_prev_final,ng_prev_final,ct_prev_final,tv_prev_final
anc_1screen_50cov,central_reversible,75,28300230.0,2200926.0,598734.0,19488.0,343119.3,0.11165156068201101,0.0004507918341796001,0.007050775208311,0.046972183743633204,0.0091296183402628
anc_1screen_50cov,central_reversible,78,29403216.0,3318528.0,999108.0,16878.0,515475.0,0.0753466143523212,0.0183995394358088,0.024363722245224,0.1880727277741628,0.2842121440770232
anc_1screen_50cov,central_reversible,236,29498394.0,3046218.0,888444.0,28710.0,471809.7,0.052992923910023006,0.0152359855933074,0.0002911208151382,0.2256918445874004,0.0846967249160358
anc_1screen_50cov,central_reversible,263,30322458.0,3215868.0,968832.0,19662.0,499397.4,0.0115746959997086,0.015728872474473,0.018534416822109802,0.13254811894222981,0.19369399406415322
anc_1screen_50cov,central_reversible,343,29320044.0,3011766.0,976662.0,57768.0,468434.1,0.054449916320039406,0.0617536325773758,0.0190232865411354,0.1379867876553836,0.022746188122610804
anc_1screen_50cov,no_treatment_effect,75,28307364.0,2517606.0,787002.0,25404.0,391874.1,0.1106949613038714,0.0100026412305706,0.007691684527473,0.043769142671576,0.009289123587035
anc_1screen_50cov,no_treatment_effect,78,29447238.0,4391238.0,1555038.0,17226.0,680348.7,0.0750285196473506,0.018823259020914602,0.0241831444469544,0.19014687067476882,0.2840286424213602
anc_1screen_50cov,no_treatment_effect,236,29501874.0,3944406.0,1416186.0,37932.0,608538.9,0.05336910117431161,0.0262268595637762,0.0,0.22514162129003484,0.0826626854357244
anc_1screen_50cov,no_treatment_effect,263,30338292.0,4046196.0,1428540.0,19662.0,626904.6,0.011562134989386002,0.0178091106290672,0.016461126292487603,0.13078866226345,0.1938968575702318
anc_1screen_50cov,no_treatment_effect,343,29338488.0,3942144.0,1558344.0,60204.0,610548.6,0.05271618461696861,0.0620501803043668,0.0186315734930916,0.1372043559089608,0.0209967609850554
anc_1screen_50cov,strong_effects,75,28314846.0,2603562.0,962046.0,22620.0,407325.3,0.1108308656697476,0.0019700553415476,0.0069364654928094,0.046405151200141805,0.0088873970774222
anc_1screen_50cov,strong_effects,78,29442192.0,4219152.0,1748700.0,6090.0,659703.6,0.0734212481279682,0.000297960119184,0.024640624893161205,0.1902688932542168,0.2837217035765374
anc_1screen_50cov,strong_effects,236,29492826.0,3898992.0,1544946.0,36192.0,606424.8,0.052147736920661006,0.024927250595778404,0.0,0.22149415076302542,0.0816441921567054
anc_1screen_50cov,strong_effects,263,30322458.0,4036278.0,1675794.0,19140.0,630671.7,0.0113978878265962,0.020264986967854,0.0176705333903884,0.1313416683192564,0.191423170219637
